emotions,text
0,@ImTeamBlume lol I had not read this. And now he has offended also by this. It is very susceptible xd
0,"That bitter you see, when you walk patruyando me as your wife"
2,Remember millet @DalasReview a woman's wound is very dangerous... much encouragement @MIAREsproject
0,"@40Andaya @djdanimoreno Today are going through a lot with you Dani,I hope your revenge simmer in your restaurant#AndaYaChef"
2,Missing a week and I'm already worried about that damn tuition
2,I swallow the wire of the braces with a super Mac 
3,Need someone to save me the.night why I fall into depression a little more
3,I'm afraid to be by myself in my depa and shake 
0,"@Glorette_616 The I fight, insulting. I lock. Point. Enojate with another."
2,Despair listening to indifference in stills that are nothing more than hate #MiercolesDeGanarSeguidores
3,I suffer from insomnia caused by the stupid guard
2,"I love my celu without holster, but I'm afraid that I fall and break me"
0,"that didn't stop me, nor god, since I consider that to be serious is like being angry, but more beast, so nothing, now I'm+"
0,"@CyDLeonesa a lot of NON-members going in the queue in front of partners choosing site. A lot of partner outraged and this is going slow not, what next."
0,Prompted anger crazy this old shit kitchen that you will love the ortho and know q I don't like 
2,"The #klebsiella is a Gram (-), which according to species may cause infections of urinary tract, septicemia, rhinitis atrophic."
1,"Live #Happy #Live #dancing, I live my #music, live #Dancing"
1,"""The only Sword that I find slightly enjoyable is Zommari. I respect her as a superior and not disrupt my existence."""
2,abandoned \_(ツ)_/
1,"@Kotitas_Party @belindapop That I always think, and appears with a twit again!!!! "
1,Because looking for your smile would be my whole life.
2,@MajoGasconn What a terrible movie...
0,@_alejandramttz @Rivera_Alv22 The last season of that series I liked 
0,when I'm angry with him automatically I get angry with all the world
3,Terrible leg pain
1,#MePoneBien Happy that we buy EVERYTHING that we wanted ... adore the dress and the running shoes Thanks... 
1,"@cllnahhue HAHAHAHA I erupted bad, any resemblance with reality is pure coincidence "
3,@zaynngel already not even funny to take ss now and you are very depressed and this is the content that I need on my tl
0,@gxspardeleon Like I'm still angry with you
0,It is generally agreed in this country that were furiously indignant with the tar and years before had been indifferent to the Txapote
2,This is so painful Because stop suffering 
3,"Not to be pessimistic, but something in my tells me that this already was verga"
2,How I enferrrrman you're cosassss 
2,"I started to cry bad and then stopped, angry and said I am strong. That wave Is as if the devil wants me bad and God tells me don't fall❤"
2,"Unfortunately, yes, I know. —Nor have they bothered to apartarle, gives a little equal support in it.—"
1,@JapanEmb_Mexico By actions such as these there is still hope in humanity 
3,"I still don't believe it, that unfortunate news #LinkinPark #RIPChesterBennington"
2,"[8/28 23:25] Maria: Be loving, what happens? [8/28 23:25] Franco: I'm not loving, the black heart means death "
0,Unfortunately I am very sensitive and any silly it's hurting me.
0,"""harm him despite being a kid from their point of view. Or how it could end. Came back to hit him once more, this time in the """
3,"That irresponsibility that car that went up on the pedestrian bridge of the usbi, it could have caused a serious accident. People!!"
1,Me da risa q you believe what v o r
3,"GONORRHEA, I FELT TERRIBLE."
0,I hate that people who are depressed get to put it to one equal to or worse.
2,"My body becomes flesh and the desire is not mutual, or nomade. The same nightmare of dehumanizing, which in one moment was mine and it was love"
3,"@gvvvalentino uff, terrible"
1,"@makikuroneko Yes, in good times and in bad, until death do us part "
1,@Camila_Cabello @BrunoMars I HAVE ALTERED EXCITED SCREAMING AND not being ABLE to SLEEP 
0,"I say ""no offense"" and offends me a vergo"
2,Do not kill the tiger if you're going to be afraid to the skin
3,"Not who is more sad, that me, appear the memories when I am greeted by the day of a friend or the death of chester"
0,I'm doing a portrait of daft punk and I'm on the edge of nervous breakdown because it is costing me a kid.
2,I hope you never realize 
1,I was already excited to have a roomie 
3,Camila is crying because she dedicated a song bpm #them
1,Already broke my record 
2,"I come things to the head without meaning that after they occur,e.g. the death of someone, or an accident. "
0,"- I shit on Monday! -But if it is already Tuesday. -I know, but I still remember. "
3,—He grabbed Cain of the back and abdomen to not to move more.— Do nothing serious? Ah. . . These bleeding again clear that it is serious.
0,"That fucking disgusting these weyes, that come to eat the fucking gym... because they don't eat at your fucking house? Get more fucking mamados or that?"
1,"If being with you is a crime, I do one hundred years in prison "
2,I am most anxious that person
1,¡¡HAPPY DAY OF THE FRIEND CHAMOS!! 
3,@hcapriles @NicolasMaduro And they that are left to humiliate... that's definitely a group of vzlanos lost his dignity....
0,Makes Me poison my old
3,Afraid to take my small wing school
1,"stay with the beautiful moments that made me go, and seeing her smile even without my does me good, the other is not, continue to forward"
2,"@S4ntiagoC The match Talk was okay, because, in my opinion. I think that well-drawn to the point is quite dangerous, and that is important."
3,I want to watch the series 
0,There can be an exclusive channel where you spend all day sports? It is not too much to ask tired I am of losing matches 
3,"The shock of my life I stuck... thank God these well my fat, our angel let nothing bad happens to you. As you'll soon be better"
1,@sivalenciac @bolivarmvb just do gone Saturday and not the other days sees the other days and then say which is better
0,If you are going to insult you by chat at least do it with good spelling.
2,Horrendous the division politico-administrative chilean
2,I just read the story of Manuel Bartual and I'm hearing noises in my room 
1,Here watching the war of memes-the guardian- 
0,I'm really bitter and I imagine chastising taehyung all day and just laugh at me and give me kisses and I forgive them i-
0,"Because they all tell me *I hope you take care of the cell*? I broke several but I do not have 8yrs...for me to walk, saying each time "
3,I don't know where to start again 
1,"Should be doing a task of indoctrination leftist, but to me the step by the lining and better I am joyfully singing =D"
0,"#manosblancasm4 Where they were the #ppcorrupto and your outrage at the tribute to the victims of the franco regime,in the congress??? "
0,As I entered anxiety and wanting to cry because I just dropped the account of the little space and lack of privacy that I have...
0,@WACO490 @PaulGoltieri @MonederoJC @PPopular Pdm reported insult is not free
2,@tinchomoretti @elOrdenMundial Imagine that terror to be a british citizen and that you want to absorb Argentina. I left there maravillaaaaa
2,Nooo today am alone 
1,"Today has happened to me, one of those things that are so important that can't be counted on Twitter but that will give much that to talk #happy"
3,"via @cafecerita: @nelys1683 @monanu God what a shame, I hope that nothing should happen to him bad."
1,@MtzAnaid Never in your life had you seen so good memes 
0,Do not hold the anger or the face of ortho
2,Die x know q happened today at the sentencing. Die x know q will happen tomorrow LAM #fear
0,@Rodriguez_Aixa5 Is that I am re resentful boluda
3,Unfortunately I am very sensitive and any silly it's hurting me.
0,#TotalmenteDivaMega grrrr half of the chapter gave aller 
0,Whenever I see the face of eyelet that I put you and the urge to throw boiling water are unavoidable
2,Great scare in the house of #MOParaguay! Do Ña Susy sleepwalker? Do paranormal activity? Became Lobohttps://t.co/5mpN73aILF @MOParaguay
1,What is whole one 
2,Never play with my anxiety
2,Terrible want me to go all well
0,SOMEONE TO ANSWER cause is to be a slut?????
3,"@KeseckerEthan @nooragalloway seriously Ethan, you die by Noora, us you hate me and the alphas or what???"
2,@affstella Normal: shyness!
2,@Nhaaaawn @MacroRocha That scare hand
2,The train goes re what toretto 
2,"It gives Me a disgust that want to do the hippie all the time, tremendous ghost"
3,@tomacuaquer @caritocabrera28 You I think sometimes they pass these things #scared
1,That happiness gives me to know that I'll see you tomorrow Mj friend
2,@Netshoes_AR that disaster that is your #ecommerce. Unique and unrepeatable experience. For not recommend to anyone. #disaster #horror 
1,"Who has a friend, has two souls... Happy day !"
3,3:48 and I not being able to sleep 
1,"I want q I touch a cumbita, I want to q dance Maribel, I want to see your funny figuritaa, moving the feet, the feet, the piesss"
2,"""The #fear serves only to lose it all."" — Manuel Belgrano "
1,That happiness is being able to say with pride that my friends are the sisters who gave me life ;both friends of 6/7 years as almost 1 or 3 already
1,✴Happy Day ✴ for those who is considered a friend..
1,@Mariangel1888 Of near is not so good 
3,"40 minutes dreaming of something horrible, lpm I'm afraid to fall asleep now "
2,@isnardobravo q horror! to these there are also q burn x bad...
3,I cannot stop crying at the news the same :'( I did very badly
1,"@DebRyanShow @AlexXxStrecci #glimmer clear that if, a change is great"
3,fa already did it a year.. if I had known that you were you would have with me 
3,"Comes to have something serious, the sweet potato that is the break the whole."
0,too much time lost and bitter
0,"I'm well offended, without words!"
0,"@OverDoradoC big concern for teachers of territorial authorities such as Bogota and Barranquilla, who are subject to the CNSC and 915"
2,"I have two types of jealousy, the normal where to say that I'm jealous and I'm angry and I'm going."
0,via @Belkis_Inciarte: @alecita2611 Worst q ever... 
1,This well-fun to watch streams while you're with friends even if it is in discord
0,"If itself charge me Satan all the time, angry more."
2,I have offended God and mankind because my work did not have the quality that should have been
0,"The discontent, the weariness, the obstinacion, THE ARRECHERA this taking the plane the maximum torque in my country!!!"
0,"It was before you thought you were tremendous wanker but for the little that you know sos is very piola, I hope to know you better"
3,"@nirvanaxdictx Because aya up, we Are sending a terrible concert!!!! "
1,"@jeremiasmacario I was so happy to read that hahahaha I you also, bank to that small group"
3,"I have tired, I wish you the worst but weeds don't die "
2,"Fearing to be worse fearing best be fearing the end, always fearing."
2,"@NivoXZ BITTER, SERIOUSLY 🤣🤣🤣🤣"
2,"#AnimalesSueltos A horror as speech Asis of ""make money"" shameless guy at the expense of The policy and Fantino what endiosa!!!"
3,"#PISCES: despite the fact that you try to forgive if the wound is large, deep you is always a minimum of rancor that you do not forget never"
0,@ju4nkhalifa Like I am.outraged
2,Going the weekend and I have a q take on responsibilities. 
0,"@pardodevera @palzaga Because it is very clear what has been said, and say things as they are does not is to miss the truth or to offend anyone."
2,@yeyoadbm @MConsuelofg @Pamelafy @Interpanic Hear that terrible this people.
1,By both stamina. Thanks happy day!
0,"@lavozdeinaki If, after the outrage you wake up ask for forgiveness"
2,Terrible day I had I can't complain
3,"@KloudZNiper Things that happen. I'm tired of so many stories to root of the hair. But look on the positive side, by the end I will follow you."
3,"Without a doubt, 1 Look will always be the simple solo of Bangtan that, until today, we all know he deserved it much more."
2,"@Majunezd horrible. For this reason, an intermediate point is the excuse that is know excuse such as ""I'm with someone."""
3,I feel like when I'm in circuit I ! #sad
3,"@a_tupper A great athlete, damn depression also led to my younger sister."
3,-When Ekmarim you cried a part of him was infuriated but on the other you could see it killed... all these months locked up and only a +
1,@guaperro1 Too sweet 
2,"I can't stand to see you mistreat an animal or kill it to eat it, but unfortunately the meat is SO rich"
3,@Ancler_123 @emocritoMCPE Fuck that nostalgia :'v
0,@Silviu60477039 @Jorgerdz10Jorge @ohmymbappe @HaunterDice @Pedrodj047 @As_TomasRoncero Mola insult culerdos.
3,"<22:53:35> ""SantiPaLasNegras"" dropped (connection lost)"
3,"What a sad woman, but you already expected on your part."
3,I hate flies 
3,@miriwonderland As in the old days #nostalgia
0,It's bullshit and it gives me the same but hold the guts that is I go old on the bus when then are the first to complain about #RABIES
3,It is curious that the definition of depression as an expression pathology at the failure of the human tardomoderno only applies to middle and high class.
2,"I don't see it as revenge, it's more like poetic justice, I hope..."
2,@Lucas_Castel I'm gonna make you cry luke
1,@Fabricio_Diiaz Oh poor victim! Someone told him handkerchiefs to dry their tears as you love to make!
0,@miishelv20 I was hacked! 
3,I can not be so tired 
3,It strikes Me as a lot of people live appearances.. #sad
0,@LeoDelPino7 Hi gordo I am offended I changed for the ball pool american that of your photo
3,"@Arq_Benavides PROVIDED YOU WITH YOUR QUEST PROMINENCE, THERE WAS NO one 50 YEARS AGO, THE BEST WAS PREDRO FERRIZ NOT YOUR SAD TRANSMISSION"
2,That scare we got today🤣🤣🤣
2,"I started the sixth book and know that it is the last has me very worried, I don't want to finish it"
2,"For some reason I hate that I continue to women that I don't know on instagram. It is as a suspect, not, pods mine"
3,Seriously I can't believe it.. I'm in shock
3,@michellevilaroo I can Not 
0,The SON OF YOUR REPUTOSIMA PUMP BITCH STUPID SLUG MADREsin to offend your mama does not know it is only an expression of hatred and the
3,My mind a mess 
1,@_julipinto I q is not funny but I rei t amo
2,I am anxious to return to see how it sounds with the silens
0,"someone explains to me as they do for the insulting type, abbreviated as ""bpm, lcdh, ect"". this that they have straw, but I so I can not download!!!!!"
1,"Tells you better to be single, and the first thing that does is having a girlfriend jajaTanta laughter you give me already baby get bored with your lies baby xD good Luck"
1,My brother is a boom in Instagram toy losing silver I think
1,@cristobalncs @CamiloIgnaciov I love it because the grandmother nor moved to grab it 
2,Because it will be that the toys will always turn on in the morning...
0,"@babynlf "" to receive his answer, his brow is wrinkled.— “Do you feel what? Where are you?”"
2,cainemaribel21 That No one Forget the name and the face of the Violence and Terrorism. #VotosSIBalasNO
3,"miraloooo, with me lost everything"
3,"Give me more sadness zootopia the story of nicolas, because FOR BE a PREDATOR, A ZORRITO, NOT WHAT they WANTED IN THE boy SCOUTS :'("
2,"@AguilaRey1 The #Earthquake was felt with force in Guarenas/Guatire. For where I work, people took to the street "
2,"I'm back with a hoarse tremendous, I'm not getting into these issues, but it gives me a disgust that they continue to defend, is a son of a bitch"
2,"@SoyPabloMiguel Expedited, because it causes urgent. Ideal for anxious people, as sho."
1,@Sexy__Queens @MexicoVoyeur @fersw82 @nalgometro Wowwww that color mint you looks great
2,"That black crap,you have to die, all those sons of a bitch"
0,"I would guess that a tire of doing damage and flee like a coward (I'll let you follow bloqueándote and desbloqueándote, not entered in your account)"
0,In my afternoon nap I had a nightmare with the-that-there-must-be-named. It was quite heavy and I woke up with something of anger. Good that Tom.
0,"I am alone in the library of the village. Single, sad and bitter."
3,"Until the websites of so much bureaucracy, commissions and getismo in general. Want to make Michael Douglas in A day of rage..."
1,@Nicotalleres98 Hahahaha Naa 
1,@KevenYHensy But the truth asta I would be proud to have a son so smart and talented
2,I swear that the teragrip ultra cachuos horror forte night still knowing to dirty water.
1,"I'm a total disaster but I caused a lot of grace the mistake I made, to sleep happy #BuenasNoches"
2,we I am worried about fer lei had to go out of his place because it was choking :(
1,I just hope that the person that you like don't praise today. Happy Day of the friend!
2,That nightmare the Facundo who listens to Manna.
0,That son of remil puta who walketh giving rt to clowns and things of terror 
0,#LaCompasionDeErkut this #Erkut fucking dump of a pump to the sra #Rage
1,"I don't want to close these wounds I don't want to cure myself of yesterday, I prefer praying for joy ✨"
0,@DavidGmez99 Think about what you want and how you want them to remain where they are and you just as bitter about these topics #XD
3,"I can No more, all my series fav are finishing "
2,"@Apixelados Ai this happy,trizte,angry,worried,disgusted and drogao"
0,I have so much anger board q I'm going to finish crying lpm
1,You know that there is no going back when you start to smile every time you talk with that person.
3,"I started to cry bad and then stopped, angry and said I am strong. That wave Is as if the devil wants me bad and God tells me don't fall❤"
0,"@CaamiAlvarez3 Uy but angry these that I respond to the tweet, if you want to talk to me don't do the difficult hahaha"
0,@ObservadBinario Totally not. Only the ground floor unfortunately. More than 12 businesses devastated
3,"@marianlopez1324 Delete messenger, no one talks to me there "
3,"I want coffee, but the coffee of your eyes, of course, because that dark gives me a headache..."
2,"I did terrible lack Ivo I grabbed it and re putie, posta that I'm re calenton"
3,that bored that I'm re puta madre
3,x god q boring I q someone I chat for a while
1,@Guid0Fernandez_ Happy day friend❤
3,Speaking of my course gives me anger and sadness at the same time
0,The mosquitoes I are stunning
1,@gonzalezdaniok Hahahahahaha hdp I applied small details of the cut technical failures 
2,Q fright ... 
2,Mine is watching horror movies only :/
1,Nice is to re-scratch their back but I am so cosquilluda 
2,"-with regard to what has come before, cause or I cause while you game or play."
3,"A round of applause for those people who despite being fucked up, always looking for the way to get a smile"
1,My sometimes I forget that there is Messenger and answer horasss haha 
0,@asioelato Stop the car of the outrage that passes from stop ♥♥♥
3,I'm tired of always giving and not receiving anything in return.
3,I am nothing of myself to cry in the aisle of deodorants and shampoo
3,That shit tomorrow have to go to replacement 
3,As I missed today 
1,"I wanted to listen to Night rather than day, but was Eclipse, is not what I expected but I'm satisfied."
2,Tremendous rot I have
0,I hate to be so distrustful firm
2,#AnimalesSueltos to a End looks a fright as Lula by a dept of shit. PERONISM EXPLICIT ✌️✌️✌️✌️
2,@Faby_jime haha and stay asleep the fright not?? haha
1,@javier_ruescas you Should sing along to @verogv15 the song of your channel welcome to the channel @javier_ruescas that funny greetings
0,Smells like butter burned... not to already anger lacerda🤣🤣🤣
3,That moment when you're afraid to go to bed because you're not going to pick up #vidadearquitectos
1,@alvarojoa28 Happy day dear ♥️
0,#PameAlaTarde Moria the has ca.....do Pamela·! I'm going to say says xq I have painted!!! now the panelists are asked opinion. #fear?
3,Where tas my @PulgarinMaite ....toy 3 times discouraged...a saludito yours I reconfortara!!!!
3,After a few depressions comes the depression that you slimming?
1,"Happy day to all those that know that are my friends! (Responding to this tweet, if I fav you are one of them :D)"
3,"The repression in Lara is serious, just like at Carabobo, number of detainees, and wounded, is immense, many states of the country in the same conditions"
2,"For you, is that there are already so distrustful of people."
3,And I fool you in such a way that it comes despite the fact that it was important to you! we already see that side at the podium we are
1,I am very proud of what I achieved
3,"I am re tired it seems to me that already, "
2,Toy re sad to leave me
3,"When you're tired of your immaturity, here ill wait for you..."
0,#GEMINI: sometimes you think as you run a good revenge against those who have been bad to you. Sooner or later you will carry out...
0,@Tricker_FD Someone who understands me perfectly Unfortunately we do not have control with that
1,This too proud in truth
3,@yeyoadbm @MConsuelofg @Pamelafy @Interpanic Hear that terrible this people.
0,That topic of that Leo Castro is anxious and that's why no brand and not by mistake as not swallowed or your Grandmother; The level is WICKED!!
1,"the direct hernan gave me all the happiness, @hchampionsliga I'll always listen."
1,@thekingkapo @danielh76742506 @Iturio12 @canchamural @Chivas @atlasfc Haha that laugh give goats
0,@Jahiluz iggggh I don't know whether to feel indignant or >:v xD!
0,"Not to mention the manipulations. Until the day of today are still pretending that I am his puppet, and if it does not gets angry and has tantrums."
3,That bored that I am
2,Dream that I was dating with a boy I ever saw in my life :| 
2,@DebRyanShow #GLIMMER I have tired the view was everything.the.day in cel espredando something new
0,But to my who fucking sends me to choose this career crap... read between the lines (I love my career and that's why I'm angry) #Relatosalvaje
2,@CarlosLoret God that horror able to that when this airport has a bigger catastrophe and are more victims than those of today
1,"@Javan_nunez The funny thing is that a lot of people don't realize that, that only are ""characters""..."
1,There is nothing more fun than to go with @Tanvillegasc to put a label to all the outfits 
2,@ToadAmarillo All the games worlds and old-fashioned classes 
1,#Happiness is when your oncologist tells you that the studies gave perfect and who sees you in the coming year
2,Wanting what you can't have only leads to despair and madness.
0,And I still leave a message in voice mailbox @claroguatemala 
0,"Inhale-exhale, I'm not going to fall in the game, inhale-exhale... "
0,"today I cried almost half the day, the other motad was laughter and anger "
0,"Echenique:""This helps the PP to insult Carmena1mujer q is the judge and q has fought her entire vidaxlo human rights"". #HomenajeBlancoEP"
0,Now I went from angry to disappointed
1,Three years ago at the hipico me to take a Picture with a stranger and I realize now that I wrote to send me the photo 
2,the case of t likens is so horrible lpm
3,I'm feeling stitches in the eye and lei q era pq my soul mate is crying 
2,@SCT_mx @gruizesp @beltrandelrio there Were at least 5 trades which indicated the imminent danger but did nothing.
2,because it will be that I don't believe him shit to no one I am so distrustful that even in my shadow I trust. Sucks to be so
1,"Like I said to my grandmother ""stay quiet that the least I have is a pregnancy, I can have what you want but not a pregnancy."" "
1,@armymxvotes @BTS_twt At the time it is exciting but then I can not go to the bathroom alone #BTS #ARMY #KCAMexico
0,"I guess that right now it may seem that I am bitter and I only know to complain, but I think I have re-suspend the examination of today."
3,"When you shook the thing that I remember is that I was on the subway, my friends and I took of the arms if that is not friendship is not that it is "
3,2 nights ago I feel like a grandmother about to fall asleep at 11 but the fatigue I have is unexplainable.
1,Only 5 days of the second most important decision of my life. #anxious #Happy #in Love with.
0,"No matter how attentive you are, how friendly you are if the only thing you notice is when you're angry, and implementing mothers"
1,@andreagmrz HAHAHA nailed 
0,I am between anger and rage that pajero that ess this waso jesussss
2,"@salvaoret so already, load it with a disgust no guarantee to fix it for the next... :("
2,@cespinoza2011: To #TAX the girls generate a hazard.
2,"#AnimalesSueltos and the icing on the cake,@AsisOberdan defending Lula.That astonishment, this gnome with zika"
2,"#SanFernando 23:30se is fire structural home of lightweight material with danger of spread, are shipped more units to the place"
2,"@tylerboludoo @ladivaza @MIAREsproject I Thought the same thing blda, I swear it gave me a repulsion tremendous to see her cry, is highly ridiculous"
2,Has jumped supersubmarina in the shuffle and I'm already crying xd
0,"Had since I was in secu in 2nd without a fight about social networks, how good it feels download your angry typing LOL"
0,The best insult of all is melon Because you can release when it is and no one is offended until you realize what you said
3,Me caga negative people and pessimistic in excess!! It's okay to be hate but don't give me a fucking break!!!
2,things like the premiere of morning I altered a lot by getting links and everything and I don't end up seeing anything so bad that it makes me anxiety
0,"@6b47e7642cda4fb @chuchicharra Is a resentful, therefore, that the PP will steal it, didn't you fucked up , and that you do not mind,!!!!"
3,I load the family appears only when something happens serious 
1,"Live #Happy #live #dancing, I live my #music, live #Dancing"
0,my revenge is already done but now I feel bad
2,fandom of st are afraid to vote for your idol My #TeenChoice vote for #ChoiceBreakoutTvStar is Finn Wolfhard @FinnSkata #StrangerThings
1,I am a fan hidden free ladies 
3,okokok a fav and a terror to the hptas cats that are culeando at my window.
3,"@__pacorocha I live looking for your songs to live to cry. Is that she is something else, his voice is perfect. And their lyrics, everything."
3,and: I feel discouraged
1,"Did you know that your mind, when you dream of recreating your longings more profound "
3,"And I agree that sometimes it made me mad pq not speak to me, I spent weeks ignroada by the pndejo and then I don't remember the pq we became more united"
1,"The amount of people q were a part of my life and went,but q I'm happy of the q I have now,I ask nothing more ❣"
1,I love you entendelo haha 
0,Jajajajaajajaj can pass 2929 years but I continue to resent something
2,In my house is always falling off things and 
3,I feel very sorry for those people without completely fans of LP... first-hand what it is like to die the person that you admire
0,My mother just called me bitter.
3,Complaining about the existence of a channel of criticism of other content creators is like complaining of the criticisms of the film
0,@ATTMx #pésimoservicio. Do not warn policy changes to users and lost my number with credit balance.
3,@TownGamePlay I Need your hug already. 
2,The first time that my cousin not me clava seen it will shake
0,@rxcketqueen__ do not give ball to isidro's not worth the
1,@YazminCantuT Applause to the. Mother-in-law
1,Angeles they look after me and guide my well-being
2,Tremendous disgust me when I call it.
1,Your going through grief and I muriéndome of laughter
3,#DanielSamperQEPD is a news unfortunate #SantosColombiaNoTeCree #TodoEsCulpaDeLasFarrr
2,makes me re anxious to be in the other tw why are you all talking about the 21 I wish I were lying
3,As it hurts the knee to the whore mother 
0,@MatiasM0106 I'm offended because I clavaste the seen you know? So go with them
1,@Camila_Cabello @BrunoMars I'M SOOOO EXCITED
1,Outside of annoying that I feel blessed to have the people that I have
3,"I'm not going to get to instagram until the morning, that depression crazy. I want to be there, with my friends"
2,To establish is to horrible
2,In 5 days they say to me in that university and in that race I was I'm nervous xDx I hope that I have been in Medicine *puts changuitos*
1,@_ELBRAYAN_ Very evil to him who thus plays with one hehehe
0,"I can't stand to see you mistreat an animal or kill it to eat it, but unfortunately the meat is SO rich"
3,"Have you seen a day of fury?. Today I am of that hair, only I have no reason to be. The same is the age, I who are."
1,"@JosDice hug you and never let go is the only thing that I ask , your smile is unique your you have #CD9 #AlonsoVillalpandoTrendy #Coders #KCAMexico"
0,Since these hps I have tired the truth.
3,"@Sebass_Psi Because I am a person responsible, an adult, independent, depressive, and eager d emorir."
0,"—You are giving a lot of worth to Kelly because he senses that you don't understand— Things that children don't make it even, small. The two of them are older."
0,@fedesan9 @nicojusid crapped all over the bitter
2,@Saaaaaaaaaaimon to my bmr from q the vi to stop eating honey of fear q gave me
2,If you know in the peo that this got the country where we are living in truth? If you are clear of the serious and escoñetados that we are?
2,My niece is still in bed. He has not eaten in several hours. It seems that the energy of the body is gone. The light bothers him a little. #sadness
0,I hate getting mad so easy
0,Ssfa Bitch #Rage🤦♀️: I feel angry
2,"God bless the people of Venezuela in this hour of darkness, it gets light!!!"
3,Locooo I am re worried 
3,"The suicide of Chester (and others) is a red light, the depression exists shiabotz..and very bitch."
2,@DebRyanShow #Glimmer I have anxiety
2,It is stupid but when something comes out of me well of nothingness instead of celebrating I get anxious 
1,"Live #Happy #live #Dancing, I live my #music, live #Dancing"
0,@YoongisPillow @JexnJexn That good insult malnourished mental
0,@clarymaffeis boluda seriously not wise is like the first thing out of the q I enterás when you go to high school
3,"Spent the day cn her routine and now I feel the grief and rage Until when are you going to legislate cn the creed in the mouth? Our body, our decision"
2,There is No moment more nervous like when you go to see if you came to the out or not
0,"@Deny_hh The bollocks, I'm going to sleep that I have already embittered "
0,the songs of the group Jarcha are inevitably linked to these days d anguish... freedom without anger
0,April has forbidden to complain to me.
3,@revistaproceso Already gave me mistrust the new tunnel in Acapulco!
1,Now if good night joy 🤗
2,"high suspicion I have, where q is I I am the one that has q to be suspicious, but well I don't know"
1,"I'm seeing life hacks that you never spray, but what entertaining is."
3,A week is not enough 
3,aquela nostalgia gostosa escutando audioslave
1,"People positive and joy-filled drives me crazy, cute please. In love with the people as well"
2,The Humedat I would be getting nervous 
3,A certain darkness is sometimes necessary to see the stars. 
0,Ubos pera or anger 
2,I have questions I have the life sad every time that I want to see the video of crying in the club
2,"@cokeanthony you were Going for that, but after what I saw Saturday, I look at you with fear "
0,That party got out of hands the shell of the lora 
0,@apolo4u2 I Want you to tell me the reasons of your anger
1,But like later I may do other polls hahaha 
1,@MexicanCodersMX Already had me excited #CD9 #Coders #AlonsoVillalpandoTrendy #HarryStyles #KCAMexico
1,@DelosCobos22 excellent prof thank you for your good vivras always remember it with pleasure that we gave good wins to the hobby.
0,Enter at this time and look at little things here and there and go back to sleep offended
0,"@softestangcl I do Not anger, is an expression :( I meant to bother him a bit. Gerardito jajaj how cute some(?"
0,"@Surviving A vague redomado that the beginning toward grace, lost pounds and lost grace, the two things, in the end is a resentful ball"
2,"Why is Twitter I fixed as ""promoted"" tweets concelajeles of UPyD? "
1,"that luck that I started the treatment, amazing the change from may to now "
1,@mariobautista_ I can imagine the face of happiness star-to see you ❤️ you are an amazing person never change ❤️
3,I feel that at any moment I'm going to assert 
0, Puttttttto insomnia caused! ...
1,aside I think q said seriously ajajajajajajajajajajjajaajja but it was very funny
3,"@_DAVE_fs Not, it is still a nightmare.."
2,"goes best revenge against the one who broke your heart, is to prove that you are nerfectamente able to be happy without him/her."
0,"Pussy! I have finished the race and I've still not taken out the book of Physical I of the car, it's still there, decolorándose in the sun! #revenge"
1,"My mom seen tutorials on youtube to pass the levels of the ""Pest Rescue Saga"" on FB, what a nice lady"
2,#AlertaYihadM4 What you intend saying to the population that is in the hands of negligent q not even address alerts Belgium? #Terror
3,LOCRO CHABON. The meal most unpleasant in the world and full of death. I have a family of shit. Better not to come.
3,"Hello, I've been 24 hours awake, but I will continue as well, because I go out at 8 am "
0,How resentful can you be to want to get into a relationship? Who made you so much damage? 🤔
1,10-sometimes I write in capitals to show that I'm excited.
2,"I hate the people closed, that is not allowed to help. To make matters worse most of the people I love is so "
2,"10 I heard a couple of yours, you're dangerous"
0,What a bitter taste to farewell all the musical moments of the #DesayunoDeLas10 this week. @carlespena @antoniofraguas @HoyPorHoy
0,Horrible is all that you hold on and how hard it is to let go of
0,"@Clentrus @DalasReview what you think someone is terrible,but do you realize what you write?"
3,I'm so tired of everything
0,"How much hatred there is in a country for up to one good news, the become insult?"
1,@LaariDalfonso @MelRomano_ Plays at both ends...
3,Taking pints because for a very long time I'm not going to be able to #Sadness 
0,"Because in your attempt to insult me I said ""black"" and ""marico"" and I wonder what will be the level of this be telling me that as an insult"
0,I am re bacana but when I'm angry holy god hang on catalina
1,"@DiaanaDu Ja, ja, ja, ja, ja, ja. Mensa. I'm dying of laughter. It is well-feita the situation."
0,That anger that put the party at the time of the novel 
3,"An empty, bitter, is what I feel."
3,:/: I feel depressed
1,"The memes of ""1min, no less, as to 5"" have improved my weekend "
3,@ashfromamike @CBinvaders @eldiarioes But it turns out that in the information that I commented on was not explained the circumstances of the outrage.
2,"I have a tremendous urge to go for a walk now pa get me a little of the disappointment and the anger and think "" well q I'm going to do"
3,"Tuesday I was fine, didn't have to come here to fuck "
2,"My dad has me all scared thinking that net I will scold you, and just tells me to ask permission and that's it."
0,"@trinitro With not to insult or discredit us, we could conform, but unfortunately there are people q is not capable of or that"
0,@Alba_Scandic Poor... you need food to make you pass the dislike :p
2,That slump gave me to see that 
1,That happiness looks like #JuanPabloJaramillo #XtiianZechTrendy #KCAMexico
2,People are bitter no more no
